campaign,platform,age_group,gender,location,impressions,clicks,spend,conversions,revenue
Festive Campaign,Instagram,18-24,Female,Bangalore,75279,3962,15149.39,39,6572.02
New Product,Instagram,45-54,Male,Mumbai,68028,3683,22427.08,169,29687.51
Fashion Week,Google,45-54,Female,Pune,119263,5313,36733.97,187,29358.75
College Offer,Instagram,25-34,Male,Bangalore,15126,964,8184.44,41,6098.61
New Product,Instagram,35-44,Male,Bangalore,67329,3745,30329.56,128,24016.07
College Offer,Instagram,18-24,Female,Bangalore,42632,2719,17280.31,155,24427.18
Summer Sale,Instagram,18-24,Female,Mumbai,124945,6750,33935.55,334,53521.71
Summer Sale,Google,25-34,Male,Chandigarh,70176,3224,20366.21,78,16531.78
Brand Awareness,Facebook,25-34,Female,Pune,149869,1651,11910.16,32,8179.05
Tech Fest,Facebook,18-24,Female,Bangalore,49560,2279,7315.63,50,10225.46
Winter Sale,Instagram,18-24,Female,Hyderabad,91589,5418,26870.19,132,17262.58
Winter Sale,Facebook,25-34,Female,Chandigarh,37116,1743,13140.15,46,6006.76
College Offer,Facebook,18-24,Female,Hyderabad,147717,1477,7094.03,35,8861.97
Brand Awareness,Instagram,45-54,Female,Pune,139085,11135,66044.29,712,115073.95
Winter Sale,Facebook,25-34,Female,Pune,132718,4422,26649.7,145,19268.96
Fashion Week,Instagram,18-24,Female,Bangalore,34256,2339,8436.44,128,26094.88
Winter Sale,Facebook,25-34,Male,Bangalore,115158,2593,12118.16,70,14511.76
Diwali Offer,Facebook,35-44,Female,Mumbai,134719,5705,25712.82,137,28878.32
Festive Campaign,Instagram,25-34,Male,Chandigarh,83244,3526,9369.22,130,20466.72
Brand Awareness,Instagram,25-34,Female,Chandigarh,71264,3386,8956.48,149,18195.21
Fashion Week,Facebook,35-44,Female,Bangalore,72545,4205,31496.22,207,52806.15
New Product,Facebook,45-54,Female,Pune,54224,1773,7337.43,72,11169.0
Fashion Week,Google,18-24,Female,Bangalore,112945,5377,30156.76,232,49797.33
Tech Fest,Facebook,35-44,Male,Pune,28224,1282,5502.8,48,10508.55
New Product,Instagram,25-34,Male,Pune,55738,3397,27665.42,186,38204.59
Flash Sale,Instagram,18-24,Female,Bangalore,78731,4472,18137.45,176,28830.04
Festive Campaign,Facebook,35-44,Male,Delhi,23070,908,4610.77,17,2685.21
Festive Campaign,Instagram,18-24,Female,Chandigarh,141161,11835,91560.08,623,126888.63
Festive Campaign,Facebook,18-24,Female,Hyderabad,23666,811,6124.35,14,3377.55
Festive Campaign,Google,35-44,Male,Pune,72761,3449,12473.68,91,22981.39
College Offer,Facebook,18-24,Male,Pune,51368,2445,17887.28,80,10786.15
Festive Campaign,Instagram,45-54,Female,Delhi,56914,3885,20392.84,141,19976.32
Festive Campaign,Facebook,35-44,Female,Hyderabad,142738,7029,37941.23,224,56506.93
Festive Campaign,Facebook,45-54,Male,Mumbai,82526,3520,11619.1,35,7809.02
Brand Awareness,Facebook,25-34,Female,Delhi,34956,744,2219.81,16,3897.91
College Offer,Google,18-24,Male,Hyderabad,61240,3956,27168.37,174,25816.13
Summer Sale,Instagram,25-34,Female,Delhi,136008,5609,30730.4,119,24069.18
Fashion Week,Google,25-34,Female,Pune,109270,5313,27208.43,229,49958.54
Fashion Week,Google,18-24,Male,Chandigarh,19757,710,4882.71,28,6026.04
New Product,Instagram,35-44,Male,Delhi,34097,1849,13115.1,35,6199.94
Brand Awareness,Instagram,18-24,Male,Mumbai,118892,7008,24201.77,222,27118.47
Diwali Offer,Instagram,25-34,Female,Bangalore,85480,5031,30997.76,159,32055.93
Fashion Week,Instagram,25-34,Female,Hyderabad,61163,3673,12165.43,111,17253.2
Winter Sale,Instagram,35-44,Female,Delhi,34816,2589,18144.36,153,28004.45
Diwali Offer,Facebook,18-24,Female,Delhi,67853,2744,17676.11,77,19562.72
Festive Campaign,Instagram,25-34,Male,Mumbai,111731,5817,47930.26,197,34645.39
Festive Campaign,Instagram,45-54,Female,Chandigarh,77823,5180,15093.22,109,25895.37
College Offer,Google,25-34,Female,Delhi,16759,993,2822.43,48,7026.99
Diwali Offer,Instagram,25-34,Female,Delhi,107374,4323,18126.87,68,14561.82
Winter Sale,Google,35-44,Male,Chandigarh,148554,7749,31540.24,293,75236.83
College Offer,Instagram,45-54,Female,Mumbai,39442,2501,9958.66,116,15574.74
New Product,Instagram,25-34,Female,Hyderabad,108501,5580,44291.4,296,35864.78
Diwali Offer,Facebook,25-34,Male,Hyderabad,17079,879,3513.61,18,3252.63
Brand Awareness,Facebook,45-54,Female,Delhi,148789,4939,20406.46,49,6515.41
Festive Campaign,Google,18-24,Female,Chandigarh,74676,3472,24499.78,125,28096.73
Festive Campaign,Facebook,18-24,Male,Delhi,105397,3469,18033.39,167,41422.15
Tech Fest,Google,25-34,Female,Bangalore,87847,3969,28419.09,191,34525.72
College Offer,Instagram,25-34,Female,Hyderabad,108607,4544,13142.14,154,24057.82
Summer Sale,Instagram,18-24,Female,Pune,79077,2982,16178.62,69,12476.34
Summer Sale,Google,35-44,Male,Bangalore,53258,3415,9226.24,182,40273.45
College Offer,Google,45-54,Female,Delhi,134771,4694,13499.56,74,8973.8
Brand Awareness,Google,45-54,Female,Mumbai,53000,1754,13924.35,56,11341.32
Flash Sale,Facebook,35-44,Male,Hyderabad,41737,417,1390.89,8,1646.89
College Offer,Instagram,35-44,Male,Pune,26485,1253,7135.24,59,12347.3
Brand Awareness,Google,35-44,Female,Bangalore,53565,1559,7742.89,89,13695.6
New Product,Instagram,35-44,Female,Hyderabad,134614,10056,46097.31,546,120102.19
Festive Campaign,Google,35-44,Female,Chandigarh,80155,4578,36161.62,154,20450.4
Winter Sale,Google,35-44,Female,Mumbai,67487,2479,6522.1,70,10352.85
Flash Sale,Facebook,45-54,Male,Bangalore,144948,8991,58286.3,192,46626.39
Diwali Offer,Google,35-44,Female,Chandigarh,27342,1552,12851.13,48,10724.22
Flash Sale,Google,18-24,Male,Delhi,55806,2293,13439.29,60,7315.46
Winter Sale,Instagram,35-44,Male,Chandigarh,63770,1594,12944.77,25,3869.32
Tech Fest,Google,35-44,Female,Bangalore,93623,6786,19092.73,340,51005.75
Festive Campaign,Facebook,45-54,Female,Bangalore,118177,2165,10852.63,21,3316.17
Summer Sale,Google,45-54,Male,Delhi,146026,3687,14972.71,132,20414.9
Brand Awareness,Instagram,35-44,Male,Chandigarh,90629,6096,41970.51,277,35664.77
College Offer,Google,45-54,Female,Chandigarh,135993,10101,84724.99,497,91573.08
College Offer,Instagram,25-34,Male,Delhi,141944,10164,41054.23,446,99271.88
Summer Sale,Instagram,45-54,Female,Chandigarh,120947,7470,47995.11,331,67835.95
Flash Sale,Google,45-54,Female,Hyderabad,41399,2158,7959.97,101,21634.41
Festive Campaign,Instagram,45-54,Male,Delhi,143177,9341,55037.0,317,41641.4
Fashion Week,Instagram,45-54,Male,Mumbai,124575,7986,42194.79,286,72417.69
Brand Awareness,Google,18-24,Female,Bangalore,125904,6090,50742.07,191,45341.27
New Product,Google,18-24,Male,Mumbai,45678,2112,12991.26,37,8610.37
Winter Sale,Facebook,18-24,Female,Hyderabad,91218,3124,14361.15,54,12701.76
Flash Sale,Facebook,35-44,Female,Hyderabad,78230,2030,6464.69,34,8519.7
Diwali Offer,Facebook,35-44,Female,Pune,89055,2816,9595.47,102,20011.95
Tech Fest,Instagram,25-34,Male,Pune,87258,3026,11655.85,92,13619.63
College Offer,Instagram,18-24,Female,Pune,54986,2959,11853.16,119,24555.61
Flash Sale,Facebook,35-44,Female,Delhi,100595,2327,17693.8,73,16352.25
Tech Fest,Google,45-54,Female,Chandigarh,116358,3695,21679.81,89,19874.45
Winter Sale,Google,45-54,Female,Hyderabad,79929,3769,21258.46,147,28371.42
College Offer,Google,18-24,Female,Mumbai,88506,5461,17413.02,224,29026.87
College Offer,Instagram,25-34,Female,Mumbai,49911,3295,25242.46,158,27169.02
Fashion Week,Facebook,25-34,Female,Mumbai,102127,1649,11274.02,17,4231.42
Flash Sale,Instagram,45-54,Female,Mumbai,128453,5539,16096.39,55,11100.26
Festive Campaign,Facebook,25-34,Female,Pune,99458,4603,31056.49,148,28914.24
Summer Sale,Facebook,18-24,Female,Mumbai,27175,630,3629.57,24,3783.35
Summer Sale,Google,45-54,Female,Chandigarh,134235,5678,16979.22,243,41694.63
New Product,Instagram,35-44,Male,Pune,69771,4297,22558.41,231,56675.49
Diwali Offer,Instagram,35-44,Female,Mumbai,142157,6166,33346.82,290,61858.4
Tech Fest,Instagram,25-34,Female,Delhi,136300,7668,26796.96,310,71372.6
Flash Sale,Google,45-54,Female,Bangalore,101925,2954,24146.55,79,14505.06
Brand Awareness,Facebook,45-54,Male,Bangalore,81358,2260,17175.67,36,7496.45
Diwali Offer,Instagram,35-44,Female,Bangalore,62057,3651,23783.1,135,20894.45
Fashion Week,Instagram,45-54,Male,Pune,21150,758,3997.52,27,5906.64
College Offer,Facebook,45-54,Female,Mumbai,19425,782,3887.0,35,6295.25
Festive Campaign,Instagram,45-54,Female,Hyderabad,31032,1699,10883.52,62,11281.3
Flash Sale,Google,25-34,Male,Hyderabad,17198,887,5120.29,27,5694.44
Diwali Offer,Facebook,45-54,Female,Hyderabad,133865,5044,14494.63,147,36908.66
Diwali Offer,Instagram,18-24,Male,Pune,38236,2728,15208.64,149,19215.17
Festive Campaign,Instagram,25-34,Male,Chandigarh,102955,5817,42687.6,129,30374.86
New Product,Google,45-54,Female,Delhi,118145,4707,24737.35,47,7563.88
Tech Fest,Instagram,45-54,Female,Delhi,109914,6206,17449.66,204,37158.34
Tech Fest,Instagram,18-24,Female,Bangalore,117870,7251,52335.32,200,24613.57
Diwali Offer,Google,25-34,Female,Bangalore,131243,5982,22182.35,164,26592.02
Winter Sale,Google,35-44,Male,Hyderabad,29596,1346,5453.62,42,7995.47
Diwali Offer,Google,35-44,Male,Hyderabad,147351,5389,18798.12,124,15855.22
Diwali Offer,Google,25-34,Female,Bangalore,126496,4686,20999.33,216,40770.73
Festive Campaign,Instagram,45-54,Male,Mumbai,145273,5544,39032.58,185,46212.17
College Offer,Instagram,45-54,Male,Chandigarh,135674,10310,57904.21,555,74789.05
Festive Campaign,Google,35-44,Female,Chandigarh,135307,4069,15174.47,132,29966.86
Flash Sale,Facebook,35-44,Male,Chandigarh,34063,908,7052.42,9,1596.19
Diwali Offer,Facebook,35-44,Male,Chandigarh,82642,2180,16954.93,77,16302.77
Tech Fest,Google,18-24,Female,Bangalore,105093,5857,45236.37,224,35041.02
Brand Awareness,Instagram,35-44,Male,Delhi,50954,2622,10311.74,117,16652.48
Tech Fest,Facebook,18-24,Female,Bangalore,42856,2141,11149.12,49,6980.77
Summer Sale,Instagram,25-34,Male,Chandigarh,17573,824,6929.79,12,1558.43
New Product,Facebook,45-54,Female,Bangalore,50367,1931,13772.04,76,11095.28
Fashion Week,Instagram,35-44,Male,Chandigarh,114608,5154,13725.13,194,41320.2
Flash Sale,Instagram,45-54,Male,Pune,75774,6118,17688.53,257,62563.23
Flash Sale,Instagram,45-54,Female,Hyderabad,38752,1579,8342.79,32,7487.28
New Product,Facebook,35-44,Female,Delhi,70029,2711,21566.88,117,25262.5
Brand Awareness,Facebook,35-44,Female,Pune,145282,6189,35476.65,109,14765.19
Fashion Week,Facebook,25-34,Female,Mumbai,66693,2665,14622.52,133,21344.67
College Offer,Google,18-24,Male,Bangalore,131739,5635,17653.57,119,19441.38
Diwali Offer,Instagram,18-24,Male,Mumbai,70961,3792,24423.06,172,26658.96
Fashion Week,Instagram,45-54,Male,Bangalore,141678,7866,58464.98,276,53019.82
Brand Awareness,Google,35-44,Female,Hyderabad,89532,3871,18513.14,152,29636.59
Winter Sale,Instagram,25-34,Male,Pune,96994,6456,46184.1,249,42321.05
Summer Sale,Google,25-34,Male,Hyderabad,71133,5087,42155.26,233,39500.6
Fashion Week,Instagram,25-34,Female,Chandigarh,76268,3684,13714.05,131,30915.71
Fashion Week,Google,25-34,Female,Hyderabad,46653,1332,7512.45,16,3688.02
Summer Sale,Instagram,25-34,Male,Hyderabad,136829,7380,31164.47,347,56592.72
Diwali Offer,Google,18-24,Female,Chandigarh,143377,10890,79030.11,480,119006.58
Fashion Week,Facebook,18-24,Male,Bangalore,16622,421,2511.5,8,2027.15
Summer Sale,Google,18-24,Male,Chandigarh,63756,4123,26005.8,132,21878.2
Summer Sale,Instagram,35-44,Female,Pune,55809,4193,30556.42,79,13399.94
Summer Sale,Facebook,45-54,Male,Hyderabad,31725,899,4383.36,19,3624.99
Festive Campaign,Google,25-34,Female,Chandigarh,66226,3432,27423.53,226,56897.06
Brand Awareness,Facebook,35-44,Female,Hyderabad,96182,5245,29886.92,251,60913.86
Festive Campaign,Facebook,25-34,Male,Pune,44402,1352,4661.33,33,4433.86
Winter Sale,Facebook,18-24,Male,Mumbai,19263,627,4185.47,14,2449.75
College Offer,Facebook,35-44,Male,Pune,62924,1763,12798.62,42,8293.82
Festive Campaign,Facebook,18-24,Female,Delhi,89182,2035,8955.16,56,10664.56
Festive Campaign,Facebook,25-34,Male,Delhi,50737,1380,10547.44,13,1912.83
Brand Awareness,Google,25-34,Female,Delhi,116332,3526,27985.37,135,32431.64
College Offer,Instagram,45-54,Female,Hyderabad,104563,5793,24107.15,275,59062.22
New Product,Instagram,25-34,Male,Bangalore,143575,6570,55195.42,277,65734.09
Summer Sale,Google,18-24,Female,Bangalore,116371,5563,18604.17,222,53330.39
Flash Sale,Google,25-34,Male,Bangalore,53709,1414,5248.9,32,7192.63
College Offer,Facebook,45-54,Male,Hyderabad,36172,1409,5079.94,53,9618.94
Winter Sale,Facebook,45-54,Male,Pune,26555,1195,9397.41,48,9862.87
Diwali Offer,Instagram,18-24,Male,Bangalore,68276,2121,13629.03,45,6410.3
Winter Sale,Instagram,35-44,Male,Mumbai,72492,4312,14715.24,148,31717.93
Summer Sale,Facebook,25-34,Male,Delhi,104599,5201,26743.23,192,27858.33
College Offer,Instagram,45-54,Male,Pune,26046,1054,6526.14,52,11291.95
Winter Sale,Facebook,25-34,Female,Delhi,131021,7215,21650.66,172,26168.72
Winter Sale,Instagram,25-34,Male,Bangalore,19853,1191,9283.25,28,3820.8
New Product,Google,35-44,Female,Pune,135900,4965,36351.85,151,21614.11
New Product,Google,45-54,Female,Chandigarh,74129,3286,18175.66,110,13230.68
