campaign,platform,age_group,gender,location,impressions,clicks,spend,conversions,revenue,CTR,CPC,Conversion_Rate,ROAS,ROI
Diwali Offer,Instagram,45-54,Female,Pune,41734,2893,18283.81,144,21454.65,6.9319978914074865,6.3200172830971315,4.977531973729692,1.1734233729184453,17.342337291844533
Tech Fest,Google,45-54,Male,Hyderabad,41069,1097,6783.41,32,4158.79,2.6711144658988535,6.183600729261623,2.917046490428441,0.6130825057014098,-38.69174942985902
Summer Sale,Instagram,45-54,Male,Delhi,27910,1347,3906.18,21,2722.88,4.826227158724471,2.8999109131403116,1.55902004454343,0.6970697714903051,-30.293022850969482
New Product,Instagram,25-34,Female,Bangalore,88479,5266,29544.62,273,68716.78,5.951694752427129,5.610448157994683,5.184200531712875,2.3258644044161003,132.58644044161002
Brand Awareness,Instagram,35-44,Male,Hyderabad,96264,7102,24154.0,307,58627.44,7.377628189146514,3.401013798929879,4.322725992678119,2.4272352405398694,142.72352405398692
Fashion Week,Facebook,35-44,Female,Mumbai,38275,1309,9064.3,38,6738.07,3.4199869366427174,6.924598930481283,2.9029793735676086,0.7433635250377856,-25.663647496221436
College Offer,Facebook,45-54,Male,Bangalore,87274,2473,13782.85,107,24986.96,2.83360450993423,5.573331985442782,4.326728669632026,1.8129022662221528,81.29022662221527
Diwali Offer,Instagram,18-24,Female,Pune,115776,8981,59107.25,556,131780.69,7.757220840243228,6.581366217570427,6.1908473443937195,2.2295182063114085,122.95182063114085
Brand Awareness,Facebook,35-44,Female,Hyderabad,63447,1118,3074.54,16,2664.11,1.7621006509370027,2.750035778175313,1.4311270125223614,0.8665068595627314,-13.349314043726862
College Offer,Instagram,25-34,Female,Chandigarh,141394,4045,12170.4,54,11723.75,2.8608003168451277,3.0087515451174287,1.334981458590853,0.9633003023729705,-3.669969762702949
New Product,Facebook,35-44,Male,Mumbai,90703,3653,24832.88,36,8206.46,4.0274301842276445,6.797941418012592,0.9854913769504517,0.33046750920553714,-66.95324907944628
Fashion Week,Instagram,45-54,Male,Hyderabad,91090,4461,13081.91,119,25186.48,4.897354265012624,2.932506164537099,2.667563326608384,1.9252907258955305,92.52907258955305
College Offer,Facebook,18-24,Female,Delhi,32260,733,2145.89,13,1835.9,2.272163670179789,2.927544338335607,1.7735334242837655,0.8555424555778722,-14.44575444221278
College Offer,Instagram,35-44,Female,Mumbai,127581,8101,20841.04,255,61869.03,6.349691568493741,2.5726502900876436,3.1477595358597705,2.9686152898319853,196.8615289831985
Diwali Offer,Google,35-44,Male,Hyderabad,18812,901,7423.35,29,5668.72,4.789496066340634,8.239012208657048,3.218645948945616,0.7636336694349586,-23.636633056504138
Festive Campaign,Instagram,45-54,Male,Delhi,131148,6325,43800.94,227,36216.97,4.822795620215329,6.925049802371542,3.5889328063241104,0.826853715924818,-17.314628407518196
Fashion Week,Instagram,18-24,Male,Mumbai,131421,5209,24063.02,143,25673.07,3.9635979029226687,4.619508542906508,2.7452486081781533,1.0669097228859885,6.690972288598851
Brand Awareness,Instagram,18-24,Male,Delhi,16605,1087,4651.51,39,4885.14,6.546221017765733,4.279218031278749,3.5878564857405704,1.050226700576802,5.022670057680196
New Product,Google,45-54,Male,Delhi,87303,4609,21193.19,182,25098.05,5.279314571091486,4.598218702538511,3.948795834237362,1.1842506956243963,18.425069562439635
Fashion Week,Google,25-34,Female,Mumbai,91125,3992,28534.5,151,34303.66,4.38079561042524,7.147920841683367,3.7825651302605214,1.2021819201317705,20.218192013177045
Summer Sale,Instagram,35-44,Male,Mumbai,139040,10728,69391.1,406,48720.66,7.715765247410817,6.4682233407904555,3.784489187173751,0.7021168420734071,-29.788315792659294
Festive Campaign,Facebook,25-34,Female,Delhi,19324,428,1545.58,16,2853.11,2.2148623473400955,3.6111682242990653,3.7383177570093453,1.8459801498466597,84.59801498466597
Summer Sale,Google,35-44,Female,Pune,91323,2437,8638.33,53,10237.03,2.668550091433702,3.544657365613459,2.1748050882232253,1.1850704939496408,18.50704939496408
New Product,Facebook,35-44,Male,Mumbai,24111,643,1987.11,15,1914.73,2.6668325660486913,3.090373250388802,2.332814930015552,0.9635752424375098,-3.6424757562490195
Diwali Offer,Facebook,25-34,Male,Hyderabad,31389,1081,6985.22,38,9736.78,3.4438816145783555,6.461813135985199,3.515263644773358,1.3939117164527388,39.39117164527388
Diwali Offer,Instagram,45-54,Female,Bangalore,137177,7945,56300.14,342,51866.88,5.791787252965147,7.086235368156073,4.304594084329767,0.9212566789354343,-7.874332106456578
New Product,Instagram,45-54,Male,Chandigarh,56427,2940,12025.42,142,23087.47,5.210271678451805,4.090278911564626,4.829931972789116,1.9198888687463724,91.98888687463723
Tech Fest,Google,35-44,Female,Delhi,137883,6787,17820.42,264,42913.72,4.922289187209445,2.6256696625902456,3.889789303079417,2.408120571793482,140.81205717934822
New Product,Google,45-54,Male,Delhi,146189,4382,13115.46,77,11723.89,2.9974895511974227,2.9930305796439978,1.7571884984025559,0.8938984984133229,-10.610150158667707
Festive Campaign,Facebook,35-44,Male,Chandigarh,140808,7367,61198.85,306,36783.14,5.231947048463156,8.307160309488259,4.1536582055110625,0.6010429934549424,-39.89570065450576
Winter Sale,Instagram,45-54,Male,Pune,127221,6871,29357.51,168,37314.19,5.400837911979941,4.272669189346528,2.4450589433852423,1.2710270728001116,27.102707280011163
Diwali Offer,Instagram,35-44,Female,Chandigarh,28234,1931,13739.72,91,23237.61,6.839271799957499,7.1153392024857585,4.712584153288452,1.6912724567895125,69.12724567895125
Flash Sale,Facebook,45-54,Male,Mumbai,68441,2676,16719.6,79,11960.69,3.909937026051636,6.2479820627802685,2.9521674140508223,0.7153693868274361,-28.463061317256383
Festive Campaign,Google,18-24,Female,Chandigarh,15846,799,3828.52,26,5533.49,5.042281963902562,4.791639549436796,3.254067584480601,1.4453339671726932,44.53339671726933
Festive Campaign,Google,25-34,Male,Delhi,25954,1345,5022.4,47,10521.68,5.182245511289204,3.734126394052044,3.494423791821561,2.0949506212169484,109.49506212169482
Festive Campaign,Google,18-24,Female,Chandigarh,94239,4747,15324.83,64,15281.89,5.037192669701503,3.2283189382768063,1.3482199283758163,0.9971980113319364,-0.28019886680635614
College Offer,Facebook,25-34,Male,Bangalore,61514,2627,16261.33,66,11825.09,4.2705725525896545,6.190076132470499,2.5123715264560333,0.7271908263346233,-27.280917366537665
Festive Campaign,Instagram,25-34,Female,Hyderabad,103236,7324,52350.51,356,57818.08,7.094424425587974,7.147803113052976,4.860731840524304,1.104441580416313,10.444158041631303
Diwali Offer,Instagram,35-44,Female,Mumbai,112579,6457,41088.64,270,44696.16,5.735527940379645,6.363425739507512,4.181508440452222,1.0877984766592421,8.779847665924217
Winter Sale,Google,25-34,Female,Chandigarh,57101,3055,17357.94,78,17141.82,5.350168998791615,5.681813420621931,2.553191489361702,0.9875492137891939,-1.2450786210806064
Winter Sale,Facebook,18-24,Female,Delhi,79323,2690,7402.09,113,26481.45,3.3911980131865915,2.751706319702602,4.200743494423792,3.577563904248665,257.7563904248665
Festive Campaign,Instagram,18-24,Female,Hyderabad,106922,7728,64226.89,292,42464.38,7.227698696245861,8.310932971014493,3.7784679089026914,0.6611620148507891,-33.8837985149211
Summer Sale,Instagram,45-54,Female,Mumbai,142534,6682,48727.05,306,52611.11,4.688004265648898,7.292285243938941,4.579467225381622,1.0797105509157643,7.97105509157644
Diwali Offer,Facebook,18-24,Male,Delhi,82584,4675,19901.16,209,51470.77,5.660902838322193,4.256932620320856,4.470588235294118,2.5863200939040736,158.63200939040738
Diwali Offer,Instagram,45-54,Female,Pune,119537,6516,54602.92,200,46587.42,5.451031898073399,8.379821976672805,3.0693677102516883,0.8532038213340971,-14.679617866590286
Fashion Week,Instagram,25-34,Female,Bangalore,93477,3536,21609.52,178,45902.67,3.7827486975405713,6.111289592760181,5.03393665158371,2.124187395185085,112.41873951850849
Brand Awareness,Facebook,18-24,Female,Pune,57533,2102,12600.51,29,6542.25,3.6535553508421255,5.9945337773549,1.379638439581351,0.5192051750286298,-48.07948249713702
Tech Fest,Facebook,25-34,Male,Bangalore,16828,451,3151.79,15,2625.71,2.6800570477775136,6.988447893569845,3.325942350332594,0.8330853261162705,-16.691467388372956
Tech Fest,Facebook,18-24,Male,Chandigarh,16917,762,5616.41,34,6891.44,4.504344741975527,7.370616797900262,4.4619422572178475,1.2270186827528617,22.701868275286166
Summer Sale,Instagram,18-24,Male,Mumbai,35618,1680,10817.3,44,9351.85,4.716716267055983,6.438869047619047,2.619047619047619,0.8645271925526703,-13.547280744732964
Tech Fest,Facebook,45-54,Female,Chandigarh,47254,1400,4576.0,58,7597.06,2.9627121513522665,3.2685714285714287,4.142857142857142,1.6601966783216784,66.01966783216784
Fashion Week,Instagram,25-34,Male,Bangalore,120292,3888,17611.1,90,17660.66,3.2321351378312775,4.5296039094650205,2.314814814814815,1.0028141342675927,0.2814134267592672
New Product,Instagram,18-24,Male,Bangalore,62362,3091,24939.74,121,26535.89,4.956544049260768,8.068502102879327,3.9145907473309607,1.064000266241749,6.400026624174902
Tech Fest,Facebook,35-44,Female,Bangalore,35128,351,1350.54,6,860.55,0.9992029150535187,3.8476923076923075,1.7094017094017095,0.6371895686169976,-36.28104313830024
Diwali Offer,Facebook,25-34,Female,Hyderabad,138781,2219,10502.53,34,7795.81,1.5989220426427249,4.733001351960342,1.5322217214961695,0.7422792412875755,-25.772075871242457
New Product,Google,25-34,Male,Delhi,80545,4359,22198.04,209,42161.19,5.411881556893662,5.092461573755449,4.794677678366598,1.8993203904488865,89.93203904488864
Tech Fest,Facebook,25-34,Female,Mumbai,97180,4317,22173.97,183,46355.92,4.44227207244289,5.136430391475562,4.2390548992355805,2.090555728180384,109.05557281803844
Diwali Offer,Facebook,45-54,Female,Chandigarh,102958,4129,25507.47,41,5163.5,4.010373161871831,6.17763865342698,0.9929765076289658,0.20243089573368114,-79.75691042663189
Diwali Offer,Instagram,35-44,Female,Chandigarh,148291,6435,52499.66,309,48558.01,4.339440694310511,8.158455322455323,4.801864801864801,0.9249204661515903,-7.50795338484097
Festive Campaign,Instagram,25-34,Female,Pune,54809,2983,11765.42,55,11231.96,5.44253680964805,3.9441568890378815,1.8437814280925242,0.9546586522198102,-4.534134778018982
Winter Sale,Instagram,18-24,Male,Bangalore,131748,7240,23378.02,370,59761.8,5.495339587697726,3.229008287292818,5.110497237569061,2.5563242738264407,155.632427382644
Summer Sale,Instagram,18-24,Female,Bangalore,20287,833,3069.46,37,8140.72,4.106077783802435,3.684825930372149,4.441776710684274,2.652166830647736,165.2166830647736
Fashion Week,Google,45-54,Male,Bangalore,23512,1482,11591.54,44,9955.47,6.303164341612794,7.8215519568151155,2.968960863697706,0.8588565453770594,-14.114345462294065
College Offer,Instagram,18-24,Male,Chandigarh,147414,9659,61574.82,382,51322.55,6.552294897363886,6.37486489284605,3.954860751630604,0.8334989854619145,-16.65010145380855
Brand Awareness,Google,25-34,Male,Pune,123872,5245,22109.99,97,18618.14,4.234209506587445,4.215441372735939,1.8493803622497615,0.8420691280276471,-15.793087197235286
Tech Fest,Facebook,18-24,Male,Delhi,108070,3817,28229.32,96,18359.49,3.5319700194318493,7.39568247314645,2.515064186533927,0.6503695448561992,-34.96304551438008
Tech Fest,Google,25-34,Female,Hyderabad,94767,4501,34514.66,139,23866.2,4.749543617503983,7.668220395467674,3.0882026216396357,0.6914800841149819,-30.85199158850182
New Product,Facebook,18-24,Female,Mumbai,112829,1184,8973.64,27,6766.46,1.0493756037898059,7.579087837837838,2.2804054054054053,0.7540373805947197,-24.59626194052803
New Product,Facebook,35-44,Female,Delhi,57078,1828,14648.79,76,17924.67,3.2026349907144613,8.013561269146608,4.157549234135667,1.2236280266151673,22.362802661516735
Brand Awareness,Facebook,45-54,Male,Chandigarh,121288,3252,13051.73,130,28289.21,2.681221555306378,4.013447109471095,3.997539975399754,2.1674682206879856,116.74682206879854
Tech Fest,Instagram,45-54,Male,Hyderabad,98524,4234,29766.09,107,23540.61,4.297430067800739,7.030252716107699,2.527161076995749,0.7908532830479247,-20.91467169520753
Flash Sale,Facebook,35-44,Male,Hyderabad,27219,860,4526.38,20,3692.81,3.15955766192733,5.263232558139535,2.3255813953488373,0.8158417985233233,-18.415820147667674
Fashion Week,Instagram,35-44,Female,Hyderabad,15235,1166,8805.62,35,8712.87,7.653429602888087,7.551989708404803,3.0017152658662094,0.9894669540588851,-1.0533045941114878
Tech Fest,Instagram,45-54,Male,Bangalore,57929,3631,24948.4,120,26069.2,6.268017745861313,6.87094464334894,3.3048746901679977,1.0449247246316398,4.492472463163967
Winter Sale,Facebook,35-44,Female,Mumbai,142309,4005,28670.53,142,31532.14,2.8142984632033112,7.158684144818976,3.545568039950062,1.099810153492105,9.981015349210498
Brand Awareness,Instagram,25-34,Female,Chandigarh,82444,5100,32828.55,315,75800.57,6.1860171752947455,6.436970588235295,6.176470588235294,2.308983186890679,130.8983186890679
Flash Sale,Google,18-24,Female,Chandigarh,116834,7219,25732.65,199,31515.63,6.178852046493315,3.5645726554924506,2.7566144895414877,1.2247331697279527,22.47331697279526
Fashion Week,Google,45-54,Female,Hyderabad,99555,5584,32220.58,180,41938.19,5.608959871427854,5.770161174785101,3.2234957020057307,1.3015963710150469,30.15963710150469
Tech Fest,Google,35-44,Male,Chandigarh,88698,4054,34086.11,135,19890.05,4.570565288958037,8.408019240256538,3.3300444005920085,0.5835236112304982,-41.647638876950175
College Offer,Instagram,25-34,Female,Mumbai,139450,6587,53514.95,249,41918.62,4.723556830405163,8.124328222255958,3.780173068164567,0.7833067208322161,-21.669327916778386
Festive Campaign,Instagram,45-54,Male,Mumbai,58925,3734,10302.26,125,20873.18,6.336868901145524,2.7590412426352438,3.347616497054098,2.026077773226457,102.6077773226457
Winter Sale,Google,35-44,Female,Pune,102388,5090,17758.44,208,53454.66,4.9712856975426805,3.4888880157170923,4.086444007858546,3.0100988600350034,201.00988600350033
College Offer,Facebook,45-54,Male,Pune,23007,1052,3461.47,29,6957.54,4.572521406528448,3.29037072243346,2.7566539923954374,2.009995753249342,100.99957532493423
New Product,Google,35-44,Male,Delhi,73596,3872,26545.97,144,31415.58,5.26115549758139,6.855880681818182,3.71900826446281,1.1834406503133998,18.344065031339976
New Product,Google,45-54,Female,Mumbai,136101,7838,58053.81,366,81174.39,5.758958420584713,7.406712171472314,4.669558560857361,1.3982611993941483,39.82611993941483
Tech Fest,Google,25-34,Female,Mumbai,103861,4006,15146.96,119,23644.13,3.8570782103003056,3.781068397403894,2.9705441837244133,1.5609818735904764,56.098187359047635
New Product,Instagram,25-34,Female,Mumbai,101740,7204,39874.98,304,76788.18,7.080794181246314,5.53511660188784,4.21987784564131,1.92572334832519,92.572334832519
Winter Sale,Instagram,18-24,Male,Pune,30524,1751,13209.93,67,12694.91,5.73646966321583,7.544220445459738,3.826384922901199,0.9610126624440856,-3.898733755591441
Fashion Week,Google,45-54,Female,Hyderabad,146149,10216,70457.8,468,81091.52,6.990126514721277,6.896808927173062,4.581049334377447,1.1509232476744946,15.092324767449453
Diwali Offer,Instagram,18-24,Female,Hyderabad,140501,6565,37771.22,195,27850.86,4.672564608081081,5.7534226961157655,2.9702970297029703,0.7373566434973506,-26.264335650264936
Summer Sale,Instagram,45-54,Male,Chandigarh,35611,2700,16313.63,127,29218.74,7.581926932689338,6.042085185185185,4.703703703703703,1.7910630558618776,79.10630558618776
Brand Awareness,Facebook,35-44,Female,Hyderabad,29060,1086,6027.48,52,11586.75,3.737095664143152,5.550165745856353,4.788213627992634,1.922320770869418,92.23207708694183
Fashion Week,Google,35-44,Male,Bangalore,58303,2167,9286.22,77,13383.35,3.7167898735914107,4.28528841716659,3.5532994923857872,1.4412053558929254,44.12053558929254
Diwali Offer,Facebook,18-24,Female,Pune,54711,1597,9406.54,33,4076.39,2.91897424649522,5.890131496556043,2.0663744520976834,0.4333570048072936,-56.66429951927064
Flash Sale,Facebook,45-54,Male,Mumbai,88340,2752,18254.87,93,22083.75,3.115236585918044,6.633310319767442,3.379360465116279,1.2097456733463454,20.974567334634546
Winter Sale,Instagram,18-24,Male,Hyderabad,117974,7089,54868.42,266,32345.21,6.008951124824114,7.739937932007335,3.7522922838200032,0.5895050376883461,-41.04949623116539
College Offer,Facebook,25-34,Female,Pune,82728,3414,21568.79,154,33651.77,4.126776907455758,6.3177475102519045,4.510837727006444,1.5602066689879217,56.02066689879217
Diwali Offer,Google,18-24,Male,Hyderabad,26246,1000,7066.73,33,8442.59,3.8101043968604738,7.06673,3.3000000000000003,1.1946954248994939,19.469542489949394
Winter Sale,Instagram,18-24,Female,Delhi,142796,7812,27032.88,291,52750.32,5.470741477352306,3.4604301075268817,3.7250384024577574,1.951339257970294,95.13392579702938
Festive Campaign,Facebook,35-44,Female,Mumbai,107263,6511,34308.7,307,46939.16,6.070126697929388,5.269344186760866,4.715097527261557,1.3681416083967042,36.81416083967042
College Offer,Google,18-24,Male,Delhi,26302,1728,4416.75,44,9622.01,6.5698425975211014,2.5559895833333335,2.5462962962962963,2.1785271976000455,117.85271976000453
New Product,Facebook,45-54,Female,Mumbai,82506,3319,13209.86,56,13126.28,4.022737740285555,3.9800723109370293,1.687255197348599,0.9936729079642025,-0.6327092035797497
New Product,Facebook,35-44,Male,Pune,56157,1991,13655.81,27,5305.51,3.545417312178357,6.858769462581617,1.356102461074837,0.3885166826427726,-61.148331735722735
College Offer,Facebook,18-24,Male,Chandigarh,69917,2547,21524.34,77,19664.64,3.6428908563010425,8.450859835100118,3.023164507263447,0.9136001382620791,-8.639986173792092
Flash Sale,Instagram,25-34,Male,Hyderabad,111646,6962,21547.87,442,56237.26,6.235780950504273,3.095068945705257,6.3487503590922145,2.609875593272096,160.9875593272096
Flash Sale,Instagram,18-24,Male,Hyderabad,98122,4192,20578.39,246,46905.16,4.272232526854324,4.908967080152672,5.868320610687023,2.2793406092507724,127.93406092507725
Flash Sale,Google,18-24,Male,Bangalore,39519,1656,12089.51,64,14117.35,4.190389432930995,7.300428743961353,3.864734299516908,1.1677354996190912,16.773549961909126
Diwali Offer,Google,18-24,Male,Delhi,95910,2395,8919.49,67,16131.57,2.497132728599729,3.7242129436325677,2.7974947807933193,1.8085753781886633,80.85753781886633
Brand Awareness,Google,35-44,Male,Hyderabad,135430,6743,39315.13,96,13929.2,4.978955918186517,5.8305101586830785,1.423698650452321,0.35429617045651385,-64.57038295434862
Diwali Offer,Google,45-54,Male,Pune,86324,4555,31422.34,141,32712.07,5.276632222788564,6.898428100987926,3.0954994511525795,1.0410450017407997,4.104500174079968
Tech Fest,Facebook,25-34,Female,Chandigarh,20408,595,3686.57,8,1579.03,2.9155233241865934,6.195915966386555,1.3445378151260505,0.4283195490659339,-57.168045093406604
Summer Sale,Facebook,18-24,Female,Pune,74379,4008,14541.62,122,21413.14,5.388617755011495,3.6281487025948107,3.0439121756487024,1.4725415737723857,47.25415737723856
College Offer,Google,45-54,Male,Delhi,40053,1213,5618.99,28,3876.32,3.0284872543879358,4.632308326463314,2.3083264633140974,0.6898606333166637,-31.013936668333624
Fashion Week,Facebook,45-54,Female,Bangalore,146994,2561,18446.24,31,7475.38,1.7422479829108672,7.202748926200703,1.210464662241312,0.40525223568597174,-59.47477643140282
Summer Sale,Facebook,35-44,Female,Hyderabad,113723,4286,24967.49,42,5964.77,3.7688066618010425,5.825359309379375,0.979934671021932,0.23890146746829577,-76.10985325317043
Festive Campaign,Google,25-34,Female,Pune,66356,3819,9667.33,187,30550.25,5.755319790222437,2.531377323906782,4.896569782665619,3.160153837719412,216.01538377194115
Diwali Offer,Google,35-44,Female,Mumbai,25789,1681,11877.85,52,8351.53,6.518282988871224,7.0659428911362285,3.093396787626413,0.7031179885248593,-29.688201147514064
Diwali Offer,Instagram,45-54,Female,Chandigarh,112720,5578,15126.8,215,52029.56,4.948545067423705,2.711868053065615,3.8544281104338474,3.4395615728376128,243.95615728376123
Winter Sale,Instagram,45-54,Female,Pune,81656,5548,38693.99,392,83957.94,6.794356813951211,6.974403388608507,7.065609228550828,2.1697927766043255,116.97927766043254
Summer Sale,Instagram,45-54,Male,Chandigarh,59028,3219,11958.21,88,20375.11,5.453344175645456,3.714883504193849,2.7337682510096304,1.7038595241261028,70.38595241261027
Winter Sale,Facebook,35-44,Female,Hyderabad,79484,2617,21586.17,26,4031.7,3.2924865381712043,8.248440962934657,0.9935040122277417,0.18677236397193203,-81.32276360280679
Fashion Week,Instagram,25-34,Female,Mumbai,47154,3093,14560.74,127,26350.26,6.559358697035246,4.707643064985451,4.106045910119625,1.8096786289707802,80.96786289707802
Winter Sale,Facebook,18-24,Female,Bangalore,17336,742,3310.5,33,6601.47,4.280110752191971,4.461590296495957,4.44743935309973,1.994100589034889,99.4100589034889
Summer Sale,Facebook,35-44,Female,Bangalore,118677,1908,6474.47,77,18217.91,1.6077251699992416,3.3933280922431868,4.035639412997904,2.813807153326836,181.3807153326836
College Offer,Instagram,45-54,Male,Mumbai,82779,6019,26084.09,203,50110.99,7.271167808260549,4.333625186908124,3.372653264661904,1.9211323837634358,92.11323837634357
Festive Campaign,Facebook,35-44,Male,Chandigarh,34029,1754,13610.87,75,9127.65,5.154427106291692,7.7599030786773096,4.275940706955531,0.6706147366039055,-32.93852633960945
Diwali Offer,Instagram,45-54,Male,Hyderabad,74201,3524,29876.49,102,21865.0,4.749262139324268,8.47800510783201,2.894438138479001,0.7318463447346056,-26.81536552653943
Fashion Week,Instagram,18-24,Male,Pune,47265,2824,13300.64,113,14380.04,5.974822807574315,4.70985835694051,4.001416430594901,1.0811539895824562,8.11539895824563
Diwali Offer,Google,18-24,Female,Mumbai,117916,6005,31175.94,409,80507.65,5.09260829743207,5.191663613655287,6.810990840965863,2.5823647979820334,158.23647979820333
Tech Fest,Instagram,25-34,Male,Delhi,61197,3557,24302.94,79,12661.22,5.812376423680899,6.832426201855496,2.220972729828507,0.5209748285598368,-47.90251714401632
Festive Campaign,Instagram,45-54,Male,Chandigarh,140733,6810,53234.96,259,42203.72,4.838950352795719,7.817174743024963,3.803230543318649,0.7927820364662621,-20.721796353373794
Brand Awareness,Facebook,25-34,Male,Bangalore,86907,2341,14182.4,67,11350.75,2.6936840530682225,6.058265698419478,2.8620247757368644,0.8003405629512635,-19.965943704873645
Winter Sale,Google,25-34,Male,Mumbai,143876,6430,31180.06,296,61266.36,4.469126191998665,4.849153965785381,4.603421461897357,1.9649211707738856,96.49211707738856
New Product,Instagram,18-24,Female,Bangalore,79435,5486,27296.86,261,43526.19,6.906275571221753,4.975730951512942,4.757564710171345,1.5945493364438255,59.45493364438255
Summer Sale,Facebook,35-44,Male,Chandigarh,55631,2309,15409.59,80,17806.23,4.150563534719851,6.673707232568211,3.46470333477696,1.1555291218001258,15.552912180012573
Diwali Offer,Instagram,35-44,Female,Bangalore,144038,7281,18343.09,230,40625.78,5.054916063816493,2.5193091608295566,3.158906743579179,2.2147729744552307,121.47729744552306
Winter Sale,Instagram,25-34,Male,Mumbai,35103,2255,14020.54,106,13734.36,6.423952368743412,6.217534368070954,4.700665188470066,0.9795885179886081,-2.0411482011391877
Fashion Week,Facebook,18-24,Female,Chandigarh,79772,797,3692.47,7,1608.08,0.9990974276688562,4.632961104140526,0.8782936010037641,0.4355025227016062,-56.44974772983937
Diwali Offer,Facebook,45-54,Female,Delhi,141108,6883,50006.26,294,47041.81,4.877824078011169,7.265183786139765,4.271393287810548,0.9407184220535588,-5.928157794644119
Brand Awareness,Facebook,35-44,Male,Mumbai,29382,414,1265.99,4,722.35,1.4090259342454563,3.0579468599033817,0.966183574879227,0.5705811262332247,-42.94188737667754
Festive Campaign,Facebook,25-34,Male,Pune,99291,3043,18346.9,90,19436.59,3.0647289281002306,6.029214590864279,2.9576076240552087,1.0593936850367092,5.939368503670912
Festive Campaign,Google,35-44,Male,Hyderabad,116195,3667,19749.87,93,15488.58,3.1559017169413486,5.385838560130897,2.5361330788110172,0.7842370608009066,-21.576293919909343
Diwali Offer,Facebook,35-44,Male,Mumbai,149828,2916,18528.13,95,12152.59,1.9462316789919105,6.353954046639232,3.2578875171467763,0.6558994350752072,-34.41005649247927
Fashion Week,Instagram,45-54,Female,Chandigarh,35609,2454,7089.9,112,19303.08,6.891516189727316,2.889119804400978,4.5639771801141,2.7226166800660097,172.26166800660098
Festive Campaign,Google,18-24,Female,Hyderabad,90683,3571,21354.23,35,8827.8,3.9378935412370564,5.979901988238589,0.9801176141136937,0.41339818855561633,-58.66018114443836
Festive Campaign,Instagram,45-54,Male,Mumbai,139714,8265,48506.52,464,97367.07,5.915656269235725,5.868907441016334,5.614035087719298,2.0072986064553797,100.729860645538
Brand Awareness,Facebook,18-24,Male,Delhi,145330,5004,29343.26,82,17548.58,3.4431982384917084,5.863960831334932,1.638689048760991,0.5980446617042552,-40.19553382957448
Summer Sale,Instagram,35-44,Female,Delhi,86315,5241,32079.77,178,37116.47,6.07194577999189,6.12092539591681,3.396298416332761,1.157005489752576,15.700548975257616
Fashion Week,Instagram,25-34,Male,Pune,92834,5191,34046.77,166,24544.58,5.59170131632807,6.558807551531496,3.1978424195723365,0.7209077395594355,-27.909226044056446
Fashion Week,Google,45-54,Female,Bangalore,141205,4180,30639.12,172,30713.48,2.9602351191530043,7.329933014354067,4.114832535885168,1.0024269626542799,0.24269626542799072
College Offer,Google,18-24,Male,Hyderabad,29153,1660,6837.41,23,5178.03,5.694096662436113,4.1189216867469876,1.3855421686746987,0.7573086885238709,-24.269131147612914
College Offer,Facebook,35-44,Female,Chandigarh,91325,2655,19780.54,164,22007.52,2.9071995620038327,7.4502975517890775,6.177024482109228,1.1125843884949551,11.258438849495512
Festive Campaign,Facebook,18-24,Female,Chandigarh,70318,1147,6296.5,34,5402.58,1.6311612958275263,5.489537925021796,2.964254577157803,0.8580290637655841,-14.197093623441596
New Product,Instagram,18-24,Female,Bangalore,146886,7324,21696.25,282,44749.08,4.986179758452133,2.962349808847624,3.8503549972692515,2.062526012559774,106.25260125597742
College Offer,Instagram,18-24,Female,Delhi,130033,9493,27067.44,455,82119.61,7.3004545000115355,2.8513051722321707,4.793005372379648,3.0338890563717884,203.38890563717885
Festive Campaign,Instagram,35-44,Female,Delhi,91077,5938,26753.24,283,72802.21,6.519758006961143,4.505429437521051,4.765914449309531,2.721248342256863,172.1248342256863
Flash Sale,Facebook,25-34,Male,Mumbai,105474,3250,23430.49,103,13333.39,3.0813280998160684,7.209381538461539,3.1692307692307695,0.5690615091703161,-43.0938490829684
Tech Fest,Facebook,25-34,Female,Pune,148515,4575,30863.34,151,29085.34,3.0804969195030805,6.746085245901639,3.300546448087432,0.942391199397084,-5.760880060291595
Tech Fest,Facebook,25-34,Male,Hyderabad,88319,2750,19887.15,88,12769.77,3.113712791132146,7.23169090909091,3.2,0.6421116147864324,-35.78883852135676
Fashion Week,Instagram,18-24,Female,Pune,140885,11259,63091.09,602,154048.62,7.991624374489832,5.603613997690736,5.346833644195755,2.4416858228317184,144.16858228317184
New Product,Google,35-44,Female,Pune,124777,6186,31803.43,206,27987.67,4.957644437676816,5.141194633042354,3.330100226317491,0.8800204883561301,-11.997951164386993
Brand Awareness,Facebook,18-24,Male,Mumbai,32368,1299,4396.74,37,6530.65,4.0132229362333165,3.3847113163972287,2.848344880677444,1.4853391376337923,48.53391376337923
Summer Sale,Facebook,25-34,Male,Pune,106751,5056,22596.06,162,36175.23,4.736255398075897,4.469157436708861,3.2041139240506324,1.6009529980005364,60.095299800053645
College Offer,Facebook,25-34,Male,Bangalore,42306,1601,8171.69,68,14867.36,3.7843331915094787,5.104116177389131,4.2473454091193,1.819373960588324,81.9373960588324
Flash Sale,Facebook,35-44,Male,Mumbai,52219,1665,5047.62,55,9855.01,3.1884946092418467,3.0316036036036036,3.303303303303303,1.9524072731307032,95.24072731307032
